Date,count
01-01-2010,190044
01-01-2011,210730
01-01-2012,217581
01-01-2013,212486
01-01-2014,378793
01-01-2015,471563
01-01-2016,518947
01-01-2017,492152
01-01-2018,613780
01-01-2019,551774
01-01-2020,710047
01-01-2021,396955
01-02-2010,183798
01-02-2011,170125
01-02-2012,131457
01-02-2013,244083
01-02-2014,449696
01-02-2015,389048
01-02-2016,509571
01-02-2017,355156
01-02-2018,651270
01-02-2019,614728
01-02-2020,761505
01-02-2021,349099
01-03-2010,168888
01-03-2011,150794
01-03-2012,222091
01-03-2013,226005
01-03-2014,463472
01-03-2015,291761
01-03-2016,451123
01-03-2017,529411
01-03-2018,689742
01-03-2019,608655
01-03-2020,706476
01-03-2021,299976
01-04-2010,250521
01-04-2011,234016
01-04-2012,258360
01-04-2013,192351
01-04-2014,398347
01-04-2015,382364
01-04-2016,547916
01-04-2017,539839
01-04-2018,682054
01-04-2019,474641
01-04-2020,638730
01-04-2021,267851
01-05-2010,246867
01-05-2011,239546
01-05-2012,268218
01-05-2013,195376
01-05-2014,333925
01-05-2015,487220
01-05-2016,592005
01-05-2017,530787
01-05-2018,701721
01-05-2019,545995
01-05-2020,509848
01-05-2021,308179
01-06-2010,261785
01-06-2011,244221
01-06-2012,289188
01-06-2013,171856
01-06-2014,441290
01-06-2015,485340
01-06-2016,621087
01-06-2017,483188
01-06-2018,457430
01-06-2019,486849
01-06-2020,674972
01-06-2021,341691
01-07-2010,259576
01-07-2011,241945
01-07-2012,199729
01-07-2013,243422
01-07-2014,459159
01-07-2015,427142
01-07-2016,631680
01-07-2017,347200
01-07-2018,532960
01-07-2019,626035
01-07-2020,757060
01-07-2021,366450
01-08-2010,253352
01-08-2011,152879
01-08-2012,166361
01-08-2013,248211
01-08-2014,505688
01-08-2015,474146
01-08-2016,655083
01-08-2017,326441
01-08-2018,657417
01-08-2019,635972
01-08-2020,848374
01-08-2021,396825
01-09-2010,159038
01-09-2011,154591
01-09-2012,274000
01-09-2013,262385
01-09-2014,495461
01-09-2015,493430
01-09-2016,559456
01-09-2017,497620
01-09-2018,717619
01-09-2019,723121
01-09-2020,795312
01-09-2021,415361
01-10-2010,150205
01-10-2011,231369
01-10-2012,266698
01-10-2013,266773
01-10-2014,501787
01-10-2015,425481
01-10-2016,443611
01-10-2017,503211
01-10-2018,753870
01-10-2019,704061
01-10-2020,765037
01-10-2021,320174
01-11-2010,195073
01-11-2011,238273
01-11-2012,247885
01-11-2013,268213
01-11-2014,413101
01-11-2015,388144
01-11-2016,545443
01-11-2017,527067
01-11-2018,678177
01-11-2019,754196
01-11-2020,678899
01-11-2021,270555
01-12-2010,215586
01-12-2011,245022
01-12-2012,282992
01-12-2013,204000
01-12-2014,426644
01-12-2015,484633
01-12-2016,634227
01-12-2017,564571
01-12-2018,674893
01-12-2019,586757
01-12-2020,594960
01-12-2021,367072
02-01-2010,259369
02-01-2011,222824
02-01-2012,290954
02-01-2013,306182
02-01-2014,461905
02-01-2015,359600
02-01-2016,625500
02-01-2017,528084
02-01-2018,737386
02-01-2019,708160
02-01-2020,486862
02-01-2021,373486
02-02-2010,250836
02-02-2011,266708
02-02-2012,301250
02-02-2013,245630
02-02-2014,384994
02-02-2015,497991
02-02-2016,605189
02-02-2017,554782
02-02-2018,807035
02-02-2019,502680
02-02-2020,569239
02-02-2021,396809
02-03-2010,255763
02-03-2011,260392
02-03-2012,345023
02-03-2013,200993
02-03-2014,408060
02-03-2015,519223
02-03-2016,601768
02-03-2017,616024
02-03-2018,678830
02-03-2019,373219
02-03-2020,722177
02-03-2021,443795
02-04-2010,246647
02-04-2011,266542
02-04-2012,263439
02-04-2013,275858
02-04-2014,479717
02-04-2015,531553
02-04-2016,662164
02-04-2017,446105
02-04-2018,566570
02-04-2019,607845
02-04-2020,749447
02-04-2021,408285
02-05-2010,316464
02-05-2011,168307
02-05-2012,192826
02-05-2013,275589
02-05-2014,497776
02-05-2015,553957
02-05-2016,735889
02-05-2017,327077
02-05-2018,706206
02-05-2019,660501
02-05-2020,780769
02-05-2021,386388
02-06-2010,227450
02-06-2011,191880
02-06-2012,289369
02-06-2013,269340
02-06-2014,484329
02-06-2015,598130
02-06-2016,648512
02-06-2017,467318
02-06-2018,730637
02-06-2019,608395
02-06-2020,779050
02-06-2021,485551
02-07-2010,191752
02-07-2011,250897
02-07-2012,289365
02-07-2013,285255
02-07-2014,511908
02-07-2015,456256
02-07-2016,543115
02-07-2017,535170
02-07-2018,709302
02-07-2019,670040
02-07-2020,820281
02-07-2021,361017
02-08-2010,255742
02-08-2011,249933
02-08-2012,298572
02-08-2013,318209
02-08-2014,381805
02-08-2015,393458
02-08-2016,665405
02-08-2017,523366
02-08-2018,740784
02-08-2019,741589
02-08-2020,650093
02-08-2021,343247
02-09-2010,252306
02-09-2011,265881
02-09-2012,307660
02-09-2013,245450
02-09-2014,328888
02-09-2015,516238
02-09-2016,664340
02-09-2017,493460
02-09-2018,852929
02-09-2019,567279
02-09-2020,525946
02-09-2021,379425
