bay_id,st_marker_id,status,location,lat,lon
8341,645W,Unoccupied,"(-37.81618810644635, 144.96953461682887)",-37.81618810644635,144.96953461682887
5234,11522N,Present,"(-37.81184611103463, 144.9516526409932)",-37.81184611103463,144.9516526409932
3042,5145W,Unoccupied,"(-37.80290398980547, 144.9569008992706)",-37.80290398980547,144.9569008992706
8971,7875W,Unoccupied,"(-37.82568924384239, 144.97088752803077)",-37.82568924384239,144.97088752803077
3870,C5636,Unoccupied,"(-37.80691574560741, 144.95496431190531)",-37.80691574560741,144.95496431190531
4183,C6636,Present,"(-37.80849716973863, 144.95928147553542)",-37.80849716973863,144.95928147553542
3914,C5742,Present,"(-37.804878278928875, 144.95532472315324)",-37.804878278928875,144.95532472315324
3550,7073S,Present,"(-37.80882498247023, 144.95408965711715)",-37.80882498247023,144.95408965711715
2677,10186E,Present,"(-37.80389685139612, 144.94956921982626)",-37.80389685139612,144.94956921982626
3028,5125W,Unoccupied,"(-37.80331620166535, 144.95709440292953)",-37.80331620166535,144.95709440292953
9002,C7822,Unoccupied,"(-37.825479771875365, 144.97098674688323)",-37.825479771875365,144.97098674688323
1901,2263W,Unoccupied,"(-37.816510247887585, 144.95725315964157)",-37.816510247887585,144.95725315964157
8968,7869W,Unoccupied,"(-37.82629768450714, 144.9710462583974)",-37.82629768450714,144.9710462583974
5892,C9008,Present,"(-37.80285872182182, 144.9669047620368)",-37.80285872182182,144.9669047620368
3630,7579S,Present,"(-37.80582157665668, 144.9546180926589)",-37.80582157665668,144.9546180926589
5556,12045W,Present,"(-37.812465971039046, 144.98308392926054)",-37.812465971039046,144.98308392926054
4402,C7238,Present,"(-37.80791180590474, 144.95219403620663)",-37.80791180590474,144.95219403620663
1528,1892N,Present,"(-37.81372065885267, 144.97230264023773)",-37.81372065885267,144.97230264023773
2326,2895S,Unoccupied,"(-37.81118873125521, 144.96631406952298)",-37.81118873125521,144.96631406952298
5236,11526N,Unoccupied,"(-37.81194395036159, 144.95130760794655)",-37.81194395036159,144.95130760794655
3372,6189W,Unoccupied,"(-37.80663100342997, 144.95113184139066)",-37.80663100342997,144.95113184139066
4298,C6932,Unoccupied,"(-37.809377574431565, 144.9560547857816)",-37.809377574431565,144.9560547857816
5445,11842E,Present,"(-37.812961471544114, 144.97791474187858)",-37.812961471544114,144.97791474187858
5777,12471S,Unoccupied,"(-37.812095858047925, 144.97707459631323)",-37.812095858047925,144.97707459631323
4270,C6876,Unoccupied,"(-37.80936810877179, 144.9557893526814)",-37.80936810877179,144.9557893526814
6064,13050N,Unoccupied,"(-37.82104865070899, 144.94339949099586)",-37.82104865070899,144.94339949099586
1503,1861S,Unoccupied,"(-37.819291587190236, 144.95764692833347)",-37.819291587190236,144.95764692833347
985,914E,Unoccupied,"(-37.81675308778094, 144.96441038238697)",-37.81675308778094,144.96441038238697
3878,C5652,Unoccupied,"(-37.806667659130824, 144.95500864718963)",-37.806667659130824,144.95500864718963
3095,5246E,Unoccupied,"(-37.80510084909001, 144.9573328769556)",-37.80510084909001,144.9573328769556
3633,7584N,Unoccupied,"(-37.80559174454697, 144.95422564230262)",-37.80559174454697,144.95422564230262
3635,7586N,Unoccupied,"(-37.80558417130324, 144.95415795040003)",-37.80558417130324,144.95415795040003
3637,7590N,Unoccupied,"(-37.80556771137624, 144.9540120387018)",-37.80556771137624,144.9540120387018
4199,C6678,Unoccupied,"(-37.80872796786283, 144.95848500888263)",-37.80872796786283,144.95848500888263
3359,6051W,Present,"(-37.80615235713561, 144.95196907814835)",-37.80615235713561,144.95196907814835
4296,C6928,Unoccupied,"(-37.80939825401876, 144.9560509085984)",-37.80939825401876,144.9560509085984
5183,C8018,Present,"(-37.81051613054472, 144.95231748350216)",-37.81051613054472,144.95231748350216
5270,4501W,Present,"(-37.811863168591, 144.9535188884221)",-37.811863168591,144.9535188884221
3394,6231W,Present,"(-37.805983889506166, 144.95083741087637)",-37.805983889506166,144.95083741087637
2674,10183W,Unoccupied,"(-37.803986538656574, 144.94936336445556)",-37.803986538656574,144.94936336445556
4491,3668N,Unoccupied,"(-37.80848915220278, 144.9673479925094)",-37.80848915220278,144.9673479925094
5253,11531S,Unoccupied,"(-37.811967757887714, 144.95163890435862)",-37.811967757887714,144.95163890435862
5507,11947W,Unoccupied,"(-37.81514995297523, 144.98262700920668)",-37.81514995297523,144.98262700920668
4008,C6054,Unoccupied,"(-37.805980641706356, 144.9521184505153)",-37.805980641706356,144.9521184505153
5831,12549S,Unoccupied,"(-37.81598145514784, 144.9807774962766)",-37.81598145514784,144.9807774962766
2663,10170E,Unoccupied,"(-37.80435822131767, 144.9494885385869)",-37.80435822131767,144.9494885385869
1893,989W,Unoccupied,"(-37.81825427138061, 144.9620693273518)",-37.81825427138061,144.9620693273518
4381,C7196,Unoccupied,"(-37.807568064386864, 144.9529019571974)",-37.807568064386864,144.9529019571974
3622,7570N,Unoccupied,"(-37.8056518213384, 144.95475934922203)",-37.8056518213384,144.95475934922203
3140,5321W,Present,"(-37.81088470301799, 144.95591914749332)",-37.81088470301799,144.95591914749332
3132,5313W,Present,"(-37.8111082398354, 144.95602159181988)",-37.8111082398354,144.95602159181988
4396,C7226,Unoccupied,"(-37.807819678246815, 144.952383630162)",-37.807819678246815,144.952383630162
3866,C5628,Present,"(-37.80703836985889, 144.95494256989207)",-37.80703836985889,144.95494256989207
1764,2392N,Present,"(-37.81468554581838, 144.96138577472976)",-37.81468554581838,144.96138577472976
3865,C5626,Unoccupied,"(-37.80706400128357, 144.95493798489738)",-37.80706400128357,144.95493798489738
5397,11760E,Present,"(-37.81002289302269, 144.97570474403477)",-37.81002289302269,144.97570474403477
8999,C7810,Unoccupied,"(-37.82564473878949, 144.97104026378582)",-37.82564473878949,144.97104026378582
5753,12444N,Present,"(-37.811902649705615, 144.9763519467404)",-37.811902649705615,144.9763519467404
6192,13274N,Present,"(-37.820201470670746, 144.94223168804564)",-37.820201470670746,144.94223168804564
9000,C7814,Unoccupied,"(-37.8255897260822, 144.97102234998545)",-37.8255897260822,144.97102234998545
3356,6044E,Present,"(-37.80611418666328, 144.95221261672373)",-37.80611418666328,144.95221261672373
5176,C8004,Unoccupied,"(-37.81043608917297, 144.9525996878082)",-37.81043608917297,144.9525996878082
4191,C6652,Present,"(-37.80856743802731, 144.95903826457047)",-37.80856743802731,144.95903826457047
4287,C6910,Unoccupied,"(-37.80920996860398, 144.95588179462618)",-37.80920996860398,144.95588179462618
4304,C6944,Present,"(-37.80931520479838, 144.95606623186836)",-37.80931520479838,144.95606623186836
3897,C5706,Present,"(-37.806067037313525, 144.9551160044954)",-37.806067037313525,144.9551160044954
6034,13079S,Unoccupied,"(-37.82125258940435, 144.9435102512326)",-37.82125258940435,144.9435102512326
4012,C6062,Unoccupied,"(-37.8058611193095, 144.95213990621272)",-37.8058611193095,144.95213990621272
6910,1920N,Present,"(-37.81459062113608, 144.9693496487792)",-37.81459062113608,144.9693496487792
3123,5288E,Unoccupied,"(-37.80447945903853, 144.9574527808565)",-37.80447945903853,144.9574527808565
4261,C6854,Unoccupied,"(-37.80949024283423, 144.9557663736784)",-37.80949024283423,144.9557663736784
3798,C5420,Unoccupied,"(-37.80821182060825, 144.95479065062798)",-37.80821182060825,144.95479065062798
3108,5265W,Unoccupied,"(-37.80466324720804, 144.95728578206518)",-37.80466324720804,144.95728578206518
4451,C7748,Unoccupied,"(-37.803118931583, 144.95022626614318)",-37.803118931583,144.95022626614318
3880,C5656,Unoccupied,"(-37.806617521044075, 144.95501761198784)",-37.806617521044075,144.95501761198784
4259,C6850,Present,"(-37.80916763506006, 144.95567953403548)",-37.80916763506006,144.95567953403548
1126,C1168,Present,"(-37.813612224214225, 144.96006313613353)",-37.813612224214225,144.96006313613353
8336,C6632a,Present,"(-37.808460677241314, 144.95940727803438)",-37.808460677241314,144.95940727803438
5819,12566N,Unoccupied,"(-37.81585716353906, 144.98135152160313)",-37.81585716353906,144.98135152160313
5508,11949W,Unoccupied,"(-37.81509804827256, 144.9826358111394)",-37.81509804827256,144.9826358111394
5812,12552N,Unoccupied,"(-37.8158055554524, 144.98088079634482)",-37.8158055554524,144.98088079634482
5817,12562N,Unoccupied,"(-37.81584255022129, 144.98121721107145)",-37.81584255022129,144.98121721107145
8133,15166N,Present,"(-37.81661337143654, 144.9809619187024)",-37.81661337143654,144.9809619187024
5512,11957W,Unoccupied,"(-37.81489175483394, 144.98267090852102)",-37.81489175483394,144.98267090852102
8122,15144N,Unoccupied,"(-37.81669407791513, 144.98171485993547)",-37.81669407791513,144.98171485993547
5833,12553S,Unoccupied,"(-37.81599647120727, 144.98091417073698)",-37.81599647120727,144.98091417073698
6141,C13668,Unoccupied,"(-37.81993624759802, 144.9434478733662)",-37.81993624759802,144.9434478733662
4317,C6972,Present,"(-37.809356342797855, 144.95626247620703)",-37.809356342797855,144.95626247620703
4444,C7734,Unoccupied,"(-37.80317433294745, 144.95072564926573)",-37.80317433294745,144.95072564926573
2669,10178E,Present,"(-37.80410451447679, 144.94953261336826)",-37.80410451447679,144.94953261336826
7059,4692Ea,Unoccupied,"(-37.80484250934886, 144.9591144008784)",-37.80484250934886,144.9591144008784
3364,6171W,Unoccupied,"(-37.80426415060094, 144.94314065249569)",-37.80426415060094,144.94314065249569
4006,C6050,Unoccupied,"(-37.80602702323796, 144.9521101242498)",-37.80602702323796,144.9521101242498
5360,8901W,Unoccupied,"(-37.82413759354036, 144.96206878558004)",-37.82413759354036,144.96206878558004
3476,6540N,Unoccupied,"(-37.80782093646036, 144.9612678162011)",-37.80782093646036,144.9612678162011
3506,6659S,Unoccupied,"(-37.80877860059651, 144.95864942534774)",-37.80877860059651,144.95864942534774
5274,4509W,Unoccupied,"(-37.811660440590664, 144.953424408537)",-37.811660440590664,144.953424408537
3629,7578N,Present,"(-37.80562156829398, 144.95449038760398)",-37.80562156829398,144.95449038760398
5271,4503W,Unoccupied,"(-37.81181254780275, 144.95349529738968)",-37.81181254780275,144.95349529738968
9005,C7834,Unoccupied,"(-37.825317457121926, 144.97092800111432)",-37.825317457121926,144.97092800111432
5178,C8008,Unoccupied,"(-37.810453517080546, 144.95253771771743)",-37.810453517080546,144.95253771771743
3806,C5448,Present,"(-37.80756750837079, 144.9544912071891)",-37.80756750837079,144.9544912071891
1809,2479S,Unoccupied,"(-37.81668273708596, 144.9550397024009)",-37.81668273708596,144.9550397024009
4007,C6052,Present,"(-37.80600383270243, 144.952114287094)",-37.80600383270243,144.952114287094
3631,7580N,Unoccupied,"(-37.80560674439511, 144.95435776275738)",-37.80560674439511,144.95435776275738
4278,C6892,Unoccupied,"(-37.809285056837695, 144.95580487254955)",-37.809285056837695,144.95580487254955
6136,C13648,Unoccupied,"(-37.81978379152755, 144.94397996203182)",-37.81978379152755,144.94397996203182
1291,4483W,Present,"(-37.81285802621315, 144.95397486300203)",-37.81285802621315,144.95397486300203
2754,4594E,Unoccupied,"(-37.80735089260331, 144.96592196065524)",-37.80735089260331,144.96592196065524
3875,C5646,Unoccupied,"(-37.80676840605765, 144.95499064476647)",-37.80676840605765,144.95499064476647
4405,C7244,Unoccupied,"(-37.807950605621684, 144.95211398570711)",-37.807950605621684,144.95211398570711
3515,6672N,Present,"(-37.80865880458556, 144.95837673606894)",-37.80865880458556,144.95837673606894
5172,11605S,Present,"(-37.81084194077856, 144.95149999753815)",-37.81084194077856,144.95149999753815
2661,10168E,Present,"(-37.804416546517615, 144.94947831042316)",-37.804416546517615,144.94947831042316
4584,8311W,Present,"(-37.8252867220072, 144.9681009491976)",-37.8252867220072,144.9681009491976
3268,5826E,Unoccupied,"(-37.80676088168991, 144.9535219414902)",-37.80676088168991,144.9535219414902
5894,C9016,Unoccupied,"(-37.80286903189891, 144.96699877834774)",-37.80286903189891,144.96699877834774
