,Pedestrians_Count,Lockdown_Stage,Vehicle_Count,Covid_Cases
01-01-2010,190044,Stage 0,,0.0
01-01-2011,210730,Stage 0,,0.0
01-01-2012,217581,Stage 0,,0.0
01-01-2013,212486,Stage 0,,0.0
01-01-2014,378793,Stage 0,,0.0
01-01-2015,471563,Stage 0,,0.0
01-01-2016,518947,Stage 0,,0.0
01-01-2017,492152,Stage 0,,0.0
01-01-2018,613780,Stage 0,,0.0
01-01-2019,551774,Stage 0,10506.0,0.0
01-01-2020,710047,Stage 0,13996.0,0.0
01-01-2021,396955,Stage 0,,10.0
01-02-2010,183798,Stage 0,,0.0
01-02-2011,170125,Stage 0,,0.0
01-02-2012,131457,Stage 0,,0.0
01-02-2013,244083,Stage 0,,0.0
01-02-2014,449696,Stage 0,,0.0
01-02-2015,389048,Stage 0,,0.0
01-02-2016,509571,Stage 0,,0.0
01-02-2017,355156,Stage 0,,0.0
01-02-2018,651270,Stage 0,,0.0
01-02-2019,614728,Stage 0,17848.0,0.0
01-02-2020,761505,Stage 0,19155.0,0.0
01-02-2021,349099,Stage 0,,0.0
01-03-2010,168888,Stage 0,,0.0
01-03-2011,150794,Stage 0,,0.0
01-03-2012,222091,Stage 0,,0.0
01-03-2013,226005,Stage 0,,0.0
01-03-2014,463472,Stage 0,,0.0
01-03-2015,291761,Stage 0,,0.0
01-03-2016,451123,Stage 0,,0.0
01-03-2017,529411,Stage 0,,0.0
01-03-2018,689742,Stage 0,,0.0
01-03-2019,608655,Stage 0,20167.0,0.0
01-03-2020,706476,Stage 0,16766.0,2.0
01-03-2021,299976,Stage 0,,0.0
01-04-2010,250521,Stage 0,,0.0
01-04-2011,234016,Stage 0,,0.0
01-04-2012,258360,Stage 0,,0.0
01-04-2013,192351,Stage 0,,0.0
01-04-2014,398347,Stage 0,,0.0
01-04-2015,382364,Stage 0,,0.0
01-04-2016,547916,Stage 0,,0.0
01-04-2017,539839,Stage 0,,0.0
01-04-2018,682054,Stage 0,,0.0
01-04-2019,474641,Stage 0,19309.0,0.0
01-04-2020,638730,Stage 0,13128.0,54.0
01-04-2021,267851,Stage 0,,0.0
01-05-2010,246867,Stage 0,,0.0
01-05-2011,239546,Stage 0,,0.0
01-05-2012,268218,Stage 0,,0.0
01-05-2013,195376,Stage 0,,0.0
01-05-2014,333925,Stage 0,,0.0
01-05-2015,487220,Stage 0,,0.0
01-05-2016,592005,Stage 0,,0.0
01-05-2017,530787,Stage 0,,0.0
01-05-2018,701721,Stage 0,,0.0
01-05-2019,545995,Stage 0,20100.0,0.0
01-05-2020,509848,Stage 0,13814.0,10.0
01-05-2021,308179,Stage 0,,0.0
01-06-2010,261785,Stage 0,,0.0
01-06-2011,244221,Stage 0,,0.0
01-06-2012,289188,Stage 0,,0.0
01-06-2013,171856,Stage 0,,0.0
01-06-2014,441290,Stage 0,,0.0
01-06-2015,485340,Stage 0,,0.0
01-06-2016,621087,Stage 0,,0.0
01-06-2017,483188,Stage 0,,0.0
01-06-2018,457430,Stage 0,,0.0
01-06-2019,486849,Stage 0,19875.0,0.0
01-06-2020,674972,Stage 0,,9.0
01-06-2021,341691,Stage 0,,6.0
01-07-2010,259576,Stage 0,,0.0
01-07-2011,241945,Stage 0,,0.0
01-07-2012,199729,Stage 0,,0.0
01-07-2013,243422,Stage 0,,0.0
01-07-2014,459159,Stage 0,,0.0
01-07-2015,427142,Stage 0,,0.0
01-07-2016,631680,Stage 0,,0.0
01-07-2017,347200,Stage 0,,0.0
01-07-2018,532960,Stage 0,,0.0
01-07-2019,626035,Stage 0,20842.0,0.0
01-07-2020,757060,Stage 0,,72.0
01-07-2021,366450,Stage 0,,0.0
01-08-2010,253352,Stage 0,,0.0
01-08-2011,152879,Stage 0,,0.0
01-08-2012,166361,Stage 0,,0.0
01-08-2013,248211,Stage 0,,0.0
01-08-2014,505688,Stage 0,,0.0
01-08-2015,474146,Stage 0,,0.0
01-08-2016,655083,Stage 0,,0.0
01-08-2017,326441,Stage 0,,0.0
01-08-2018,657417,Stage 0,,0.0
01-08-2019,635972,Stage 0,22597.0,0.0
01-08-2020,848374,Stage 0,,557.0
01-08-2021,396825,Stage 0,,0.0
01-09-2010,159038,Stage 0,,0.0
01-09-2011,154591,Stage 0,,0.0
01-09-2012,274000,Stage 0,,0.0
01-09-2013,262385,Stage 0,,0.0
01-09-2014,495461,Stage 0,,0.0
01-09-2015,493430,Stage 0,,0.0
01-09-2016,559456,Stage 0,,0.0
01-09-2017,497620,Stage 0,,0.0
01-09-2018,717619,Stage 0,,0.0
01-09-2019,723121,Stage 0,17275.0,0.0
01-09-2020,795312,Stage 0,,83.0
01-09-2021,415361,Stage 0,,0.0
01-10-2010,150205,Stage 0,,0.0
01-10-2011,231369,Stage 0,,0.0
01-10-2012,266698,Stage 0,,0.0
01-10-2013,266773,Stage 0,,0.0
01-10-2014,501787,Stage 0,,0.0
01-10-2015,425481,Stage 0,,0.0
01-10-2016,443611,Stage 0,,0.0
01-10-2017,503211,Stage 0,,0.0
01-10-2018,753870,Stage 0,,0.0
01-10-2019,704061,Stage 0,24141.0,0.0
01-10-2020,765037,Stage 0,,5.0
01-10-2021,320174,Stage 0,,0.0
01-11-2010,195073,Stage 0,,0.0
01-11-2011,238273,Stage 0,,0.0
01-11-2012,247885,Stage 0,,0.0
01-11-2013,268213,Stage 0,,0.0
01-11-2014,413101,Stage 0,,0.0
01-11-2015,388144,Stage 0,,0.0
01-11-2016,545443,Stage 0,,0.0
01-11-2017,527067,Stage 0,,0.0
01-11-2018,678177,Stage 0,,0.0
01-11-2019,754196,Stage 0,24068.0,0.0
01-11-2020,678899,Stage 0,,0.0
01-11-2021,270555,Stage 0,,0.0
01-12-2010,215586,Stage 0,,0.0
01-12-2011,245022,Stage 0,,0.0
01-12-2012,282992,Stage 0,,0.0
01-12-2013,204000,Stage 0,,0.0
01-12-2014,426644,Stage 0,,0.0
01-12-2015,484633,Stage 0,,0.0
01-12-2016,634227,Stage 0,,0.0
01-12-2017,564571,Stage 0,,0.0
01-12-2018,674893,Stage 0,,0.0
01-12-2019,586757,Stage 0,17363.0,0.0
01-12-2020,594960,Stage 0,,0.0
01-12-2021,367072,Stage 0,,0.0
02-01-2010,259369,Stage 0,,0.0
02-01-2011,222824,Stage 0,,0.0
02-01-2012,290954,Stage 0,,0.0
02-01-2013,306182,Stage 0,,0.0
02-01-2014,461905,Stage 0,,0.0
02-01-2015,359600,Stage 0,,0.0
02-01-2016,625500,Stage 0,,0.0
02-01-2017,528084,Stage 0,,0.0
02-01-2018,737386,Stage 0,,0.0
02-01-2019,708160,Stage 0,15665.0,0.0
02-01-2020,486862,Stage 0,20112.0,0.0
02-01-2021,373486,Stage 0,,3.0
02-02-2010,250836,Stage 0,,0.0
02-02-2011,266708,Stage 0,,0.0
02-02-2012,301250,Stage 0,,0.0
02-02-2013,245630,Stage 0,,0.0
02-02-2014,384994,Stage 0,,0.0
02-02-2015,497991,Stage 0,,0.0
02-02-2016,605189,Stage 0,,0.0
02-02-2017,554782,Stage 0,,0.0
02-02-2018,807035,Stage 0,,0.0
02-02-2019,502680,Stage 0,15948.0,0.0
02-02-2020,569239,Stage 0,14524.0,0.0
02-02-2021,396809,Stage 0,,0.0
02-03-2010,255763,Stage 0,,0.0
02-03-2011,260392,Stage 0,,0.0
02-03-2012,345023,Stage 0,,0.0
02-03-2013,200993,Stage 0,,0.0
02-03-2014,408060,Stage 0,,0.0
02-03-2015,519223,Stage 0,,0.0
02-03-2016,601768,Stage 0,,0.0
02-03-2017,616024,Stage 0,,0.0
02-03-2018,678830,Stage 0,,0.0
02-03-2019,373219,Stage 0,18119.0,0.0
02-03-2020,722177,Stage 0,21897.0,0.0
02-03-2021,443795,Stage 0,,0.0
02-04-2010,246647,Stage 0,,0.0
02-04-2011,266542,Stage 0,,0.0
02-04-2012,263439,Stage 0,,0.0
02-04-2013,275858,Stage 0,,0.0
02-04-2014,479717,Stage 0,,0.0
02-04-2015,531553,Stage 0,,0.0
02-04-2016,662164,Stage 0,,0.0
02-04-2017,446105,Stage 0,,0.0
02-04-2018,566570,Stage 0,,0.0
02-04-2019,607845,Stage 0,19939.0,0.0
02-04-2020,749447,Stage 0,13056.0,53.0
02-04-2021,408285,Stage 0,,0.0
02-05-2010,316464,Stage 0,,0.0
02-05-2011,168307,Stage 0,,0.0
02-05-2012,192826,Stage 0,,0.0
02-05-2013,275589,Stage 0,,0.0
02-05-2014,497776,Stage 0,,0.0
02-05-2015,553957,Stage 0,,0.0
02-05-2016,735889,Stage 0,,0.0
02-05-2017,327077,Stage 0,,0.0
02-05-2018,706206,Stage 0,,0.0
02-05-2019,660501,Stage 0,20735.0,0.0
02-05-2020,780769,Stage 0,11550.0,11.0
02-05-2021,386388,Stage 0,,0.0
02-06-2010,227450,Stage 0,,0.0
02-06-2011,191880,Stage 0,,0.0
02-06-2012,289369,Stage 0,,0.0
02-06-2013,269340,Stage 0,,0.0
02-06-2014,484329,Stage 0,,0.0
02-06-2015,598130,Stage 0,,0.0
02-06-2016,648512,Stage 0,,0.0
02-06-2017,467318,Stage 0,,0.0
02-06-2018,730637,Stage 0,,0.0
02-06-2019,608395,Stage 0,14881.0,0.0
02-06-2020,779050,Stage 0,,6.0
02-06-2021,485551,Stage 0,,3.0
02-07-2010,191752,Stage 0,,0.0
02-07-2011,250897,Stage 0,,0.0
