Date,Stage 
2/08/2020,Stage 4
3/08/2020,Stage 4
4/08/2020,Stage 4
5/08/2020,Stage 4
6/08/2020,Stage 4
7/08/2020,Stage 4
8/08/2020,Stage 4
9/08/2020,Stage 4
10/08/2020,Stage 4
11/08/2020,Stage 4
12/08/2020,Stage 4
13/08/2020,Stage 4
14/08/2020,Stage 4
15/08/2020,Stage 4
16/08/2020,Stage 4
17/08/2020,Stage 4
18/08/2020,Stage 4
19/08/2020,Stage 4
20/08/2020,Stage 4
21/08/2020,Stage 4
22/08/2020,Stage 4
23/08/2020,Stage 4
24/08/2020,Stage 4
25/08/2020,Stage 4
26/08/2020,Stage 4
27/08/2020,Stage 4
28/08/2020,Stage 4
29/08/2020,Stage 4
30/08/2020,Stage 4
31/08/2020,Stage 4
1/09/2020,Stage 4
2/09/2020,Stage 4
3/09/2020,Stage 4
4/09/2020,Stage 4
5/09/2020,Stage 4
6/09/2020,Stage 4
7/09/2020,Stage 4
8/09/2020,Stage 4
9/09/2020,Stage 4
10/09/2020,Stage 4
11/09/2020,Stage 4
12/09/2020,Stage 4
13/09/2020,Stage 4
14/09/2020,Stage 4
15/09/2020,Stage 4
16/09/2020,Stage 4
17/09/2020,Stage 4
18/09/2020,Stage 4
19/09/2020,Stage 4
20/09/2020,Stage 4
21/09/2020,Stage 4
22/09/2020,Stage 4
23/09/2020,Stage 4
24/09/2020,Stage 4
25/09/2020,Stage 4
26/09/2020,Stage 4
27/09/2020,Stage 4
28/09/2020,Stage 4
29/09/2020,Stage 4
30/09/2020,Stage 4
1/10/2020,Stage 4
2/10/2020,Stage 4
3/10/2020,Stage 4
4/10/2020,Stage 4
5/10/2020,Stage 4
6/10/2020,Stage 4
7/10/2020,Stage 4
8/10/2020,Stage 4
9/10/2020,Stage 4
10/10/2020,Stage 4
11/10/2020,Stage 4
12/10/2020,Stage 4
13/10/2020,Stage 4
14/10/2020,Stage 4
15/10/2020,Stage 4
16/10/2020,Stage 4
17/10/2020,Stage 4
13/02/2021,Stage 4
14/02/2021,Stage 4
15/02/2021,Stage 4
16/02/2021,Stage 4
17/02/2021,Stage 4
27/05/2021,Stage 4
28/05/2021,Stage 4
29/05/2021,Stage 4
30/05/2021,Stage 4
31/05/2021,Stage 4
1/06/2021,Stage 4
2/06/2021,Stage 4
3/06/2021,Stage 4
4/06/2021,Stage 4
5/06/2021,Stage 4
6/06/2021,Stage 4
7/06/2021,Stage 4
8/06/2021,Stage 4
9/06/2021,Stage 4
28/03/2020,Stage 3
29/03/2020,Stage 3
30/03/2020,Stage 3
31/03/2020,Stage 3
1/04/2020,Stage 3
2/04/2020,Stage 3
3/04/2020,Stage 3
4/04/2020,Stage 3
5/04/2020,Stage 3
6/04/2020,Stage 3
7/04/2020,Stage 3
8/04/2020,Stage 3
9/04/2020,Stage 3
10/04/2020,Stage 3
11/04/2020,Stage 3
12/04/2020,Stage 3
13/04/2020,Stage 3
14/04/2020,Stage 3
15/04/2020,Stage 3
16/04/2020,Stage 3
17/04/2020,Stage 3
18/04/2020,Stage 3
19/04/2020,Stage 3
20/04/2020,Stage 3
21/04/2020,Stage 3
22/04/2020,Stage 3
23/04/2020,Stage 3
24/04/2020,Stage 3
25/04/2020,Stage 3
26/04/2020,Stage 3
27/04/2020,Stage 3
28/04/2020,Stage 3
29/04/2020,Stage 3
30/04/2020,Stage 3
1/05/2020,Stage 3
2/05/2020,Stage 3
3/05/2020,Stage 3
4/05/2020,Stage 3
5/05/2020,Stage 3
6/05/2020,Stage 3
7/05/2020,Stage 3
8/05/2020,Stage 3
9/05/2020,Stage 3
10/05/2020,Stage 3
11/05/2020,Stage 3
12/05/2020,Stage 3
13/05/2020,Stage 3
14/05/2020,Stage 3
15/05/2020,Stage 3
16/05/2020,Stage 3
17/05/2020,Stage 3
18/05/2020,Stage 3
19/05/2020,Stage 3
20/05/2020,Stage 3
21/05/2020,Stage 3
22/05/2020,Stage 3
23/05/2020,Stage 3
24/05/2020,Stage 3
25/05/2020,Stage 3
26/05/2020,Stage 3
27/05/2020,Stage 3
28/05/2020,Stage 3
29/05/2020,Stage 3
30/05/2020,Stage 3
31/05/2020,Stage 3
1/06/2020,Stage 3
2/06/2020,Stage 3
3/06/2020,Stage 3
4/06/2020,Stage 3
5/06/2020,Stage 3
6/06/2020,Stage 3
7/06/2020,Stage 3
8/06/2020,Stage 3
9/06/2020,Stage 3
10/06/2020,Stage 3
11/06/2020,Stage 3
12/06/2020,Stage 3
13/06/2020,Stage 3
14/06/2020,Stage 3
